n,avg_gap (%),std_gap,success_rate (%),avg_time (s),max_gap (%)
10,0.0,0.0,100.0,0.0010416666666666667,0.0
25,0.0,0.0,100.0,0.019270833333333334,0.0
40,0.0,0.0,100.0,0.08177083333333333,0.0
50,0.15873015873015872,0.8547880646245245,96.66666666666667,0.18802083333333333,4.761904761904762
60,0.0,0.0,100.0,0.31354166666666666,0.0
75,0.11904761904761905,0.6410910484683934,96.66666666666667,0.6963541666666667,3.5714285714285716
85,1.2037037037037035,1.3764878469739357,56.666666666666664,1.1984375,2.7777777777777777
90,1.111111111111111,1.6972502573910517,66.66666666666666,1.365625,5.555555555555555
100,1.9259259259259258,1.6956330581125332,36.666666666666664,2.009895833333333,4.444444444444445
125,2.242424242424242,2.082768518477525,36.666666666666664,5.219270833333334,5.454545454545454
150,2.6767676767676765,2.3369162224766216,36.666666666666664,9.280729166666667,6.0606060606060606
175,1.4529914529914534,2.2385984365314178,63.33333333333333,15.226041666666667,6.410256410256411
200,1.9780219780219779,2.622055702296451,50.0,23.0453125,7.6923076923076925
250,2.285714285714285,2.8422894330919863,50.0,47.24375,7.619047619047619
300,0.5392156862745098,1.840031801874849,86.66666666666667,92.071875,9.558823529411764
400,0.4385964912280702,1.8185630144059737,90.0,261.821875,10.0
500,0.6493506493506495,1.9955723933534384,80.0,567.9375,10.822510822510823
600,0.0,0.0,100.0,1119.1723958333334,0.0
